Date,Time,amazon_price,in_store_price,Month,amazon_price_samsung,,season,,
23-06-2024,06:25,73019.0367,69900,June,62962.18727,,no,,
24-06-2024,10:04,72171.66164,69900,June,62798.49679,,no,,
25-06-2024,06:49,71504.03109,69900,June,62471.12165,,no,,
26-06-2024,07:52,70104.5774,69900,June,63016.74979,,no,,
27-06-2024,09:48,70091.73757,69900,June,63671.50298,,no,,
28-06-2024,06:32,70117.41723,69900,June,63889.75307,,no,,
29-06-2024,08:02,70027.54366,69900,June,64380.82159,,no,,
30-06-2024,08:37,65018.25398,69900,June,64653.6313,,no,,
01-07-2024,07:32,64920.97907,69900,July,65035.57478,,no,,
02-07-2024,05:38,65066.89078,69900,July,64653.6313,,no,,
03-07-2024,08:39,65091.20983,69900,July,64653.6313,,no,,
04-07-2024,06:45,65115.52626,69900,July,64271.69364,,no,,
05-07-2024,04:50,65164.16568,69900,July,64926.44973,,no,,
06-07-2024,06:13,65042.57041,69900,July,64817.32178,,no,,
07-07-2024,01:51,69030.82848,69900,July,65199.26235,,no,,
08-07-2024,07:19,71122.23046,69900,July,65472.07496,,no,,
09-07-2024,05:25,71146.5482,69900,July,65526.64039,,no,,
10-07-2024,06:47,71146.5482,69900,July,65362.94992,,no,,
11-07-2024,06:32,71073.59235,69900,July,65744.89339,,no,,
12-07-2024,02:59,71000.6365,69900,July,65854.01553,,no,,
13-07-2024,06:49,71122.23046,69900,July,66126.83105,,no,,
14-07-2024,04:06,71122.23046,63290,July,65690.33087,,no,,
15-07-2024,00:33,71049.27329,63290,July,65963.14058,,no,,
16-07-2024,01:56,71146.5482,63290,July,66126.83105,,no,,
17-07-2024,02:29,71146.5482,63290,July,66181.39358,,no,,
18-07-2024,23:46,71000.6365,63290,July,66235.9561,,no,,
19-07-2024,03:35,65261.43797,63290,July,66235.9561,,no,,
20-07-2024,05:47,65066.89078,63290,July,66399.64367,,no,,
21-07-2024,01:25,65553.26138,63290,July,69073.21894,,yes,,
22-07-2024,06:53,65577.58174,63290,July,71146.61226,,yes,,
23-07-2024,02:32,65626.21723,63290,July,74529.50614,,yes,,
24-07-2024,23:49,65577.58174,63290,July,77748.71245,,no,,
25-07-2024,03:38,66015.31686,63290,July,80149.478,,no,,
26-07-2024,06:55,67061.01916,63290,July,75129.6968,,no,,
27-07-2024,10:11,68009.44524,63290,July,70000.79055,,no,,
28-07-2024,00:23,72143.61239,63290,July,66399.64367,,no,,
29-07-2024,23:18,65674.85665,63290,July,62471.12165,,no,,
30-07-2024,20:19,67401.47936,63290,July,61925.49642,,no,,
31-07-2024,18:25,66039.63591,63290,July,62034.61856,,no,,
01-08-2024,21:26,66112.59176,63290,August,62252.86865,,no,,
02-08-2024,03:49,66075.94994,63290,August,62471.12165,,no,,
03-08-2024,04:09,66000.00174,63290,August,62471.12165,,yes,,
04-08-2024,23:05,72094.97559,63290,August,62307.43118,,no,,
05-08-2024,03:47,72075.94994,63290,August,62361.99661,,no,,
06-08-2024,03:44,65650.5376,63290,August,62580.2467,,no,,
07-08-2024,03:25,65696.20372,63290,August,62853.05931,,no,,
08-08-2024,08:49,65620.25378,63290,August,63016.74979,,no,,
09-08-2024,06:06,65468.35564,63290,August,63016.74979,,no,,
11-08-2024,04:43,65658.22962,63290,August,61221.58319,,no,,
12-08-2024,04:02,65734.17782,63990,August,61646.99833,,no,,
13-08-2024,05:22,70253.16531,63990,August,62169.09596,,no,,
14-08-2024,04:41,70139.24127,63990,August,62575.17419,,no,,
15-08-2024,06:01,70139.24127,63990,August,63193.95947,,no,,
16-08-2024,00:16,70025.31723,63990,August,63426.00344,,no,,
17-08-2024,03:38,70443.03928,63990,August,63406.66653,,no,,
18-08-2024,05:59,70367.08934,63990,August,63135.94771,,no,,
19-08-2024,03:16,68088.60855,63990,August,62942.57757,,no,,
20-08-2024,04:36,65050.63358,63990,August,62652.52287,,no,,
21-08-2024,03:55,65050.63358,63990,August,62420.4789,,no,,
22-08-2024,02:13,65164.55762,63990,August,62517.16346,,no,,
23-08-2024,08:37,65202.53346,63990,August,63542.02491,,no,,
24-08-2024,06:55,65430.38154,63990,August,63580.69873,,no,,
25-08-2024,05:13,65278.48166,63990,August,63522.68902,,no,,
26-08-2024,22:27,65126.58352,63990,August,63580.69873,,no,,
27-08-2024,06:53,67974.68451,63990,August,63580.69873,,no,,
28-08-2024,01:08,66303.79802,63990,August,63484.01417,,no,,
29-08-2024,01:27,66303.79802,63990,August,63580.69873,,no,,
30-08-2024,04:49,66265.82392,63990,August,63542.02491,,no,,
01-09-2024,00:24,66189.87398,63990,September,60950.86437,,no,,
02-09-2024,02:45,66265.82392,63990,September,60950.86437,,no,,
05-09-2024,06:46,70253.16531,63990,September,60757.49423,,no,,
06-09-2024,02:02,70025.31723,63990,September,60699.48349,,no,,
08-09-2024,07:45,69759.49505,63990,September,58611.08471,,no,,
09-09-2024,06:03,69987.34313,63990,September,60177.3838,,no,,
10-09-2024,05:21,70063.29133,63990,September,60912.19158,,no,,
13-09-2024,02:17,70063.29133,63990,September,62575.17419,,no,,
14-09-2024,02:36,70139.24127,63990,September,63039.26315,,no,,
15-09-2024,00:54,65962.0259,63990,September,63077.93594,,no,,
16-09-2024,02:14,60759.49592,63990,September,63329.31785,,no,,0
16-09-2024,15:25,55443.03841,63990,September,63580.69873,,yes,,
17-09-2024,05:36,65050.63358,63990,September,63851.41755,,no,,
